Fecha,01.01 PLACA DE ROLLO,01.02 PLACA DE HOJA,02.01 LAMINA EN CALIENTE,03.01 LAMINA EN FRIO,04.01 LAMINA GALVANIZADA,05.01 PERFILES ESTRUCTURALES,06.01 PERFILES COMERCIALES
2018-01,11895,3344,10674,994,175,11091,3079
2018-02,9888,2100,7326,753,143,9140,2669
2018-03,12495,1427,9297,935,163,10238,3008
2018-04,10563,2159,7331,835,148,8067,3560
2018-05,12415,1756,8734,939,124,12012,3641
2018-06,9158,1513,5616,646,191,11877,3486
2018-07,9364,1629,6175,719,188,9894,3512
2018-08,10297,1714,7024,638,216,11155,3352
2018-09,9435,2143,6637,600,177,8742,2989
2018-10,11917,2455,8227,788,170,9328,3152
2018-11,11528,1493,6745,693,160,8760,2733
2018-12,10055,1613,5171,603,104,9364,2803
2019-01,9795,1708,6897,1134,116,10395,3583
2019-02,9077,1497,6086,827,105,8304,3115
2019-03,11277,2175,7115,735,159,8762,3420
2019-04,9379,2180,6430,843,103,7990,2718
2019-05,10557,2211,7694,752,155,9488,4059
2019-06,10867,2064,6306,932,147,8748,2908
2019-07,13142,2023,8004,976,191,9593,3118
2019-08,12534,1978,7919,743,170,9831,3736
2019-09,10417,1370,5795,754,137,8270,3291
2019-10,12571,2258,6993,699,227,7739,3617
2019-11,10989,1922,7339,897,219,7811,3803
2019-12,9159,2235,5828,818,172,7991,2772
2020-01,11316,1972,9225,1113,184,8098,3963
2020-02,10088,2370,8011,972,175,7516,4413
2020-03,12502,1862,9435,1149,204,11395,4653
2020-04,6520,1027,5551,836,109,6212,2850
2020-05,7263,885,7065,952,152,5749,3199
2020-06,8302,1270,8797,926,197,7886,3992
2020-07,9700,1558,10794,1316,204,8186,4552
2020-08,11649,1830,12056,1404,367,9272,4782
2020-09,9832,3036,11921,1195,633,11055,5057
2020-10,11050,2557,12930,1812,271,12441,5224
2020-11,10439,2437,9828,1799,197,9720,4454
2020-12,10248,2296,10453,1558,285,10763,5562
2021-01,9271,2134,9661,1407,294,11571,5423
2021-02,9440,1596,9502,1849,236,8155,4203
2021-03,11008,3926,12934,2273,386,12236,5302
2021-04,9078,2451,9502,1977,214,9963,5078
2021-05,10690,4281,11178,1940,367,12463,5076
2021-06,9969,4238,9188,1383,394,11565,4729
2021-07,7969,3257,7056,1329,545,9071,3737
2021-08,8533,4663,8128,1520,856,11406,4174
2021-09,8015,2919,9173,1323,556,9814,4498
2021-10,8922,2548,9495,1753,717,10507,4576
2021-11,7861,2597,9890,1657,589,10378,4346
2021-12,8664,2560,9532,1655,518,10007,4130
2022-01,9744,2842,9877,1958,643,9521,4567
2022-02,10700,1702,9582,1605,563,10767,5181
2022-03,17759,2553,16652,3242,1044,15987,6196
2022-04,13527,1423,11884,2224,848,11268,5237
2022-05,11619,1481,10818,1990,833,9413,6032
2022-06,13558,1688,11180,1790,933,10629,4212
2022-07,13890,1784,10822,1704,918,9048,3811
2022-08,14852,2000,12285,1996,953,11012,4936
2022-09,14086,1576,14548,2625,1043,10602,4454
2022-10,16661,2076,13139,2551,1238,10589,4346
2022-11,16800,2031,13104,2380,1065,8473,3827
2022-12,19152,2099,15591,2368,977,9028,4750
2023-01,17807,2553,15954,2881,1099,9293,5088
2023-02,17776,1972,15622,2113,1050,7787,3412
2023-03,19342,2561,17088,2194,1136,11884,3962
2023-04,13182,1656,11601,2223,811,8952,3625
2023-05,15155,2141,13045,2263,1119,9933,3582
2023-06,15313,2392,13026,1998,947,10870,3263
2023-07,17087,2774,13173,2143,728,11452,4876
2023-08,19062,2237,16345,2447,1099,10565,4513
2023-09,16027,2030,17613,2784,1059,9989,4012
2023-10,19872,2636,22955,3309,1350,10677,4261
2023-11,15047,1734,17372,2986,1575,9848,4270
2023-12,16112,2217,15597,1887,1122,12740,4259
2024-01,13136,1566,13034,2113,849,10009,3314
2024-02,12900,1959,10840,1584,917,8833,3064
2024-03,10664,1813,13464,1938,734,8568,3289
2024-04,14461,2338,18493,3115,1371,9901,4881
2024-05,15098,3064,15880,2345,1212,11008,4462
2024-06,17140,2165,17421,2354,1199,10978,3853
2024-07,15509,2402,16572,2168,1216,11659,5026
2024-08,16394,2836,18424,2233,1269,11144,4761
2024-09,12510,2352,14132,1757,920,9430,3959
2024-10,13660,1944,14576,1811,773,10306,4611
2024-11,13729,1764,12933,1592,695,10489,4458
2024-12,12287,2237,13234,1625,982,11469,4206
